id,created_at,product_id,product_name,product_sku,supplier_id,supplier_name,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,last_order_date,last_stock_count_date,unit_cost,total_value,expiration_date,batch_number,warehouse_location,shelf_location,stock_status,is_active,last_updated_at,notes,created_by_id
73b82dcd-d724-40cb-a104-5eebb5bdf0a6,2025-07-01 08:12:56.423905,PROD-6FABE8C6,Aceite de oliva,SKU-492912,SUP-27AB1AA0,Soluciones VC S.L.,270,256,14,155,167,419,711,3.42,2025-09-23,2025-10-01,85.75,23152.5,2027-09-03,BATCH-8338-51,Almacén Central,Pasillo-9-Estante-6-Nivel-5,1,False,2025-10-10 08:12:29.004487,Control de calidad aprobado,d14e3c1e-db14-4cf7-bbb1-720fbbb3a97f
82332166-1286-4348-a46f-d5917286f8dc,2025-07-01 09:12:56.423905,PROD-DCC384E3,Aceite de oliva virgen extra,SKU-540695,SUP-7910310A,Soluciones VC S.L.,4444,342,4102,149,186,367,709,41.32,2025-04-18,2025-10-12,21.9,97323.6,2027-03-31,BATCH-3007-12,Centro Distribución 2,Pasillo-2-Estante-3-Nivel-2,3,True,2025-10-08 22:53:47.631987,"Stock bajo, programar reorden",2a0cc5e3-9e10-404b-8ab7-8fa378eac4a2
c8b819fe-e376-4e26-9ea1-476e95a7e65e,2025-07-01 10:12:56.423905,PROD-7E0AEECD,Aceite de oliva refinado,SKU-212394,SUP-66B2D4C7,Banca Privada JWV S.L.,2087,86,2001,79,91,400,109,13.72,2025-08-06,2025-10-01,67.81,141519.47,2027-05-24,BATCH-6978-88,Centro Distribución 2,Pasillo-7-Estante-10-Nivel-1,3,True,2025-10-09 15:57:02.317234,Producto en buen estado,e3ef1b8e-1703-4b70-b260-8dc04d6104bd
7aa0db82-f8de-4baf-8159-b900ec0024ee,2025-07-01 11:12:56.423905,PROD-8935FB4B,Aceite de girasol,SKU-870737,SUP-0E65265D,Taboada & Asociados S.L.N.E,4622,117,4505,72,161,432,274,32.5,2025-07-11,2025-10-06,76.37,352982.14,2027-02-19,BATCH-9629-81,Almacén Oeste,Pasillo-13-Estante-4-Nivel-4,3,False,2025-10-14 13:21:01.639066,Próximo a vencimiento,bee4965f-195f-4f7d-930b-3fc4fb56b37b
e8c2fed8-c98b-49b7-a44f-81e085a92591,2025-07-01 12:12:56.423905,PROD-DE0BAC3A,Aceite de canola,SKU-814421,SUP-FA3D7200,Pereira y Galván S.Com.,3894,26,3868,157,211,554,945,25.78,2025-09-22,2025-10-03,2.85,11097.9,2026-04-30,BATCH-9937-14,Centro Distribución 2,Pasillo-10-Estante-10-Nivel-1,3,True,2025-10-14 00:39:32.315954,Próximo a vencimiento,e3ef1b8e-1703-4b70-b260-8dc04d6104bd
708dd670-6d4f-42cc-bbe7-ab1678b862e2,2025-07-01 13:12:56.423905,PROD-C5E72C63,Aceite de maíz,SKU-457761,SUP-FCE9C582,Pereira y Galván S.Com.,892,144,748,31,42,336,226,44.13,2025-07-25,2025-10-02,153.21,136663.32,2027-01-21,BATCH-2058-89,Almacén Norte,Pasillo-11-Estante-9-Nivel-4,3,False,2025-10-11 17:30:43.207817,,a84ce210-6003-4e68-a1c7-d011972f97ec
79b5812c-42d4-4e78-9958-9e4b93ed9d2b,2025-07-01 14:12:56.423905,PROD-F156EA76,Aceite de soja,SKU-775162,SUP-13C64D98,Transportes Española S.A.,4859,100,4759,11,23,224,435,1.43,2025-05-13,2025-09-21,6.43,31243.37,2025-12-21,BATCH-2815-74,Almacén Este,Pasillo-10-Estante-5-Nivel-2,3,True,2025-10-12 16:16:33.172772,Próximo a vencimiento,bee4965f-195f-4f7d-930b-3fc4fb56b37b
bdc79e1e-88a8-48df-818d-1919f0c65d4d,2025-07-01 15:12:56.423905,PROD-107955DA,Aceite de aguacate,SKU-551490,SUP-27AB1AA0,Pereira y Galván S.Com.,3000,176,2824,170,212,628,580,30.68,2025-08-29,2025-09-21,28.61,85830.0,2025-12-17,BATCH-1874-46,Almacén Este,Pasillo-7-Estante-4-Nivel-4,3,False,2025-10-10 06:57:54.468095,Producto en buen estado,0c798cf7-7ed9-4c1f-9bdb-2c63a0c22772
3cbf74a1-1c13-46fc-acc6-37dad7910c73,2025-07-01 16:12:56.423905,PROD-F80741A4,Aceite de coco,SKU-292866,SUP-AC48F928,Minería OH S.A.,2335,469,1866,171,245,376,920,39.69,2025-08-17,2025-10-06,321.5,750702.5,2026-02-18,BATCH-8232-88,Almacén Este,Pasillo-10-Estante-8-Nivel-4,3,True,2025-10-10 22:26:38.041261,Próximo a vencimiento,e3ef1b8e-1703-4b70-b260-8dc04d6104bd
e561dd7a-a9cc-4204-9a60-a09d447fa1ae,2025-07-01 17:12:56.423905,PROD-34000B32,Aceite de almendra,SKU-137954,SUP-0B9CAA56,Ester Villanueva Chico S.A.,2536,407,2129,92,130,439,299,44.54,2025-09-15,2025-09-28,448.52,1137446.72,2027-07-14,BATCH-8577-69,Centro Distribución 1,Pasillo-17-Estante-9-Nivel-5,3,True,2025-10-09 06:53:57.176981,,bee4965f-195f-4f7d-930b-3fc4fb56b37b
